Facility	Latitude	Longitude	Total On-site Disposal or Other Releases	Total Off-site Disposal or Other Releases	Total On- and Off-site Disposal or Other Releases
"OCCIDENTAL CHEMICAL CORP.4133 HWY 361, GREGORY TEXAS 78359 (SAN PATRICIO)"	27.884	-97.241	4.0168144	288.875443	292.8922574
"CRISTAL USA INC.2426 MIDDLE RD, ASHTABULA OHIO 44004 (ASHTABULA)"	41.889	-80.764	270.00977	.	270.00977
"SPECTRO ALLOYS CORP.13220 DOYLE PATH, ROSEMOUNT MINNESOTA 55068 (DAKOTA)"	44.758	-93.013	2.4268	240.2596	242.6864
"OLIN BLUE CUBE FREEPORT TX.2301 NORTH BRAZOSPORT BLVD. B-101, FREEPORT TEXAS 77541 (BRAZORIA)"	28.969	-95.38	122.4805	112.967	235.4475
"SHELL CHEMICAL LP.5900 HWY 225 EAST, DEER PARK TEXAS 77536 (HARRIS)"	29.711	-95.119	90.525	143.914	234.439
"WESTLAKE VINYLS CO.36045 HWY 30, GEISMAR LOUISIANA 70734 (ASCENSION PARISH)"	30.209	-91.011	3.4788	194.5532	198.032
"EAGLE US 2 LLC.1300 PPG DR, WESTLAKE LOUISIANA 70669 (CALCASIEU PARISH)"	30.23	-93.286	17.439	180.2716	197.7106
"AXIALL LLC.26100 HWY 405 S, PLAQUEMINE LOUISIANA 70764 (IBERVILLE PARISH)"	30.262	-91.186	4.1368	170.964029	175.100829
"WESTROCK TACOMA MILL.801 PORTLAND AVE, TACOMA WASHINGTON 98421 (PIERCE)"	47.264	-122.428	1.022928	158.58	159.602928
"THE DOW CHEMICAL CO.1790 BUILDING, MIDLAND MICHIGAN 48667 (MIDLAND)"	43.6	-84.223	136.4882	.	136.4882
"IMCO RECYCLING OF OHIO LLC.7335 NEWPORT RD SE, UHRICHSVILLE OHIO 44683 (TUSCARAWAS)"	40.369	-81.347	6.668	129.69	136.358
